library,precision,k,policy,iteration,time,GFLOPS
oblas,f,2000,false,1,0.020749,771.125997
oblas,f,2000,false,2,0.014724,1086.640274
oblas,f,2000,false,3,0.017123,934.432506
oblas,f,2000,false,4,0.018297,874.458574
oblas,f,2000,false,5,0.024336,657.475596
oblas,f,2000,close,1,0.015836,1010.379821
oblas,f,2000,close,2,0.013907,1150.502809
oblas,f,2000,close,3,0.019268,830.389085
oblas,f,2000,close,4,0.019360,826.432109
oblas,f,2000,close,5,0.016250,984.590179
oblas,f,2000,spread,1,0.019319,828.196788
oblas,f,2000,spread,2,0.018080,884.934314
oblas,f,2000,spread,3,0.017042,938.851488
oblas,f,2000,spread,4,0.016277,983.002414
oblas,f,2000,spread,5,0.015311,1044.981899
oblas,f,3000,false,1,0.051208,1054.527756
oblas,f,3000,false,2,0.036730,1470.197224
oblas,f,3000,false,3,0.051354,1051.533987
oblas,f,3000,false,4,0.051157,1055.566733
oblas,f,3000,false,5,0.054057,998.946500
oblas,f,3000,close,1,0.048390,1115.940308
oblas,f,3000,close,2,0.043853,1231.385527
oblas,f,3000,close,3,0.043902,1230.009414
oblas,f,3000,close,4,0.049055,1100.811076
oblas,f,3000,close,5,0.042711,1264.303753
oblas,f,3000,spread,1,0.047893,1127.502280
oblas,f,3000,spread,2,0.037903,1424.689301
oblas,f,3000,spread,3,0.039007,1384.361301
oblas,f,3000,spread,4,0.046251,1167.553860
oblas,f,3000,spread,5,0.048413,1115.402404
oblas,f,4000,false,1,0.082029,1560.417684
oblas,f,4000,false,2,0.087910,1456.029165
oblas,f,4000,false,3,0.094153,1359.485501
oblas,f,4000,false,4,0.081391,1572.645850
oblas,f,4000,false,5,0.086191,1485.066938
oblas,f,4000,close,1,0.087190,1468.057573
oblas,f,4000,close,2,0.081757,1565.620788
oblas,f,4000,close,3,0.087502,1462.817521
oblas,f,4000,close,4,0.086647,1477.255198
oblas,f,4000,close,5,0.081743,1565.881574
oblas,f,4000,spread,1,0.083000,1542.171536
oblas,f,4000,spread,2,0.081637,1567.925190
oblas,f,4000,spread,3,0.081588,1568.856185
oblas,f,4000,spread,4,0.082508,1551.372933
oblas,f,4000,spread,5,0.087376,1464.937706
oblas,f,5000,false,1,0.163119,1532.626231
oblas,f,5000,false,2,0.162954,1534.179347
oblas,f,5000,false,3,0.162482,1538.633979
oblas,f,5000,false,4,0.163739,1526.824561
oblas,f,5000,false,5,0.167348,1493.895081
oblas,f,5000,close,1,0.163161,1532.227616
oblas,f,5000,close,2,0.162739,1536.203782
oblas,f,5000,close,3,0.172694,1447.645540
oblas,f,5000,close,4,0.163812,1526.142395
